"Date","Price","Open","High","Low","Vol.","Change %"
"2020-03-09","1.3701","1.3462","1.3761","1.3461","110.77K","2.07%"
"2020-03-06","1.3423","1.3407","1.3440","1.3377","99.26K","0.13%"
"2020-03-05","1.3405","1.3386","1.3440","1.3381","80.94K","0.16%"
"2020-03-04","1.3384","1.3384","1.3433","1.3328","85.69K","-0.01%"
"2020-03-03","1.3385","1.3326","1.3392","1.3317","94.55K","0.47%"
"2020-03-02","1.3322","1.3412","1.3446","1.3314","85.12K","-0.55%"
"2020-02-28","1.3396","1.3389","1.3466","1.3376","103.57K","0.06%"
"2020-02-27","1.3388","1.3333","1.3396","1.3314","86.95K","0.44%"
"2020-02-26","1.3330","1.3280","1.3336","1.3269","80.54K","0.40%"
"2020-02-25","1.3277","1.3294","1.3307","1.3265","69.70K","-0.11%"
"2020-02-24","1.3292","1.3248","1.3309","1.3234","56.16K","0.53%"
"2020-02-21","1.3222","1.3260","1.3269","1.3200","61.65K","-0.28%"
"2020-02-20","1.3259","1.3221","1.3270","1.3209","58.44K","0.31%"
"2020-02-19","1.3218","1.3262","1.3263","1.3213","49.22K","-0.29%"
"2020-02-18","1.3256","1.3233","1.3280","1.3231","42.48K","0.17%"
"2020-02-17","1.3234","1.3250","1.3256","1.3224","24.65K","-0.14%"
"2020-02-14","1.3252","1.3268","1.3270","1.3233","42.04K","-0.11%"
"2020-02-13","1.3267","1.3249","1.3273","1.3238","58.56K","0.14%"
"2020-02-12","1.3249","1.3286","1.3297","1.3233","51.43K","-0.28%"
"2020-02-11","1.3286","1.3317","1.3321","1.3274","51.28K","-0.22%"
"2020-02-10","1.3315","1.3304","1.3331","1.3287","47.78K","0.03%"
"2020-02-07","1.3311","1.3284","1.3321","1.3278","59.33K","0.20%"
"2020-02-06","1.3284","1.3281","1.3310","1.3267","56.29K","0.05%"
"2020-02-05","1.3278","1.3275","1.3305","1.3260","60.24K","0.05%"
"2020-02-04","1.3272","1.3286","1.3303","1.3261","59.06K","-0.09%"
"2020-02-03","1.3284","1.3238","1.3305","1.3227","49.28K","0.37%"
"2020-01-31","1.3235","1.3207","1.3254","1.3193","62.63K","0.20%"
"2020-01-30","1.3208","1.3199","1.3227","1.3188","57.59K","0.09%"
"2020-01-29","1.3196","1.3155","1.3211","1.3153","52.38K","0.31%"
"2020-01-28","1.3155","1.3194","1.3207","1.3152","56.52K","-0.28%"
"2020-01-27","1.3192","1.3145","1.3201","1.3145","55.02K","0.38%"
"2020-01-24","1.3142","1.3128","1.3154","1.3118","50.74K","0.15%"
"2020-01-23","1.3122","1.3133","1.3173","1.3122","47.41K","-0.09%"
