"date","bank_rate"
"May 1958","1.78"
"June 1958","1.97"
"July 1958","1.22"
"August 1958","1.51"
"September 1958","2.42"
"October 1958","2.73"
"November 1958","3.25"
"December 1958","3.74"
"January 1959","3.71"
"February 1959","4.03"
"March 1959","4.55"
"April 1959","4.97"
"May 1959","5.30"
"June 1959","5.47"
"July 1959","5.66"
"August 1959","6.29"
"September 1959","5.85"
"October 1959","5.18"
"November 1959","5.16"
"December 1959","5.37"
"January 1960","4.91"
"February 1960","4.87"
"March 1960","3.66"
"April 1960","3.75"
"May 1960","3.24"
"June 1960","3.32"
"July 1960","3.44"
"August 1960","2.50"
"September 1960","1.93"
"October 1960","3.12"
"November 1960","4.02"
"December 1960","3.71"
"January 1961","3.47"
"February 1961","3.11"
"March 1961","3.46"
"April 1961","3.57"
"May 1961","3.42"
"June 1961","2.80"
"July 1961","2.88"
"August 1961","2.76"
"September 1961","2.67"
"October 1961","2.74"
"November 1961","2.67"
"December 1961","3.18"
"January 1962","3.35"
"February 1962","3.42"
"March 1962","3.35"
"April 1962","3.35"
"May 1962","3.75"
"June 1962","6.00"
"July 1962","6.00"
"August 1962","6.00"
"September 1962","5.50"
"October 1962","5.00"
"November 1962","4.00"
"December 1962","4.00"
"January 1963","4.00"
"February 1963","4.00"
"March 1963","4.00"
"April 1963","4.00"
"May 1963","3.50"
"June 1963","3.50"
"July 1963","3.50"
"August 1963","4.00"
"September 1963","4.00"
"October 1963","4.00"
"November 1963","4.00"
"December 1963","4.00"
"January 1964","4.00"
"February 1964","4.00"
"March 1964","4.00"
"April 1964","4.00"
"May 1964","4.00"
"June 1964","4.00"
"July 1964","4.00"
"August 1964","4.00"
"September 1964","4.00"
"October 1964","4.00"
"November 1964","4.25"
"December 1964","4.25"
"January 1965","4.25"
"February 1965","4.25"
"March 1965","4.25"
"April 1965","4.25"
"May 1965","4.25"
"June 1965","4.25"
"July 1965","4.25"
"August 1965","4.25"
"September 1965","4.25"
"October 1965","4.25"
"November 1965","4.25"
"December 1965","4.75"
"January 1966","4.75"
"February 1966","4.75"
"March 1966","5.25"
"April 1966","5.25"
"May 1966","5.25"
"June 1966","5.25"
"July 1966","5.25"
"August 1966","5.25"
"September 1966","5.25"
"October 1966","5.25"
"November 1966","5.25"
"December 1966","5.25"
"January 1967","5.25"
"February 1967","5.00"
"March 1967","5.00"
"April 1967","4.50"
"May 1967","4.50"
"June 1967","4.50"
"July 1967","4.50"
"August 1967","4.50"
"September 1967","5.00"
"October 1967","5.00"
"November 1967","6.00"
"December 1967","6.00"
"January 1968","7.00"
"February 1968","7.00"
"March 1968","7.50"
"April 1968","7.50"
"May 1968","7.50"
"June 1968","7.50"
"July 1968","6.50"
"August 1968","6.50"
"September 1968","6.00"
"October 1968","6.00"
"November 1968","6.00"
"December 1968","6.50"
"January 1969","6.50"
"February 1969","6.50"
"March 1969","7.00"
"April 1969","7.00"
"May 1969","7.00"
"June 1969","7.50"
"July 1969","8.00"
"August 1969","8.00"
"September 1969","8.00"
"October 1969","8.00"
"November 1969","8.00"
"December 1969","8.00"
"January 1970","8.00"
"February 1970","8.00"
"March 1970","8.00"
"April 1970","8.00"
"May 1970","7.50"
"June 1970","7.00"
"July 1970","7.00"
"August 1970","7.00"
"September 1970","6.50"
"October 1970","6.50"
"November 1970","6.00"
"December 1970","6.00"
"January 1971","6.00"
"February 1971","5.25"
"March 1971","5.25"
"April 1971","5.25"
"May 1971","5.25"
"June 1971","5.25"
"July 1971","5.25"
"August 1971","5.25"
"September 1971","5.25"
"October 1971","4.75"
"November 1971","4.75"
"December 1971","4.75"
"January 1972","4.75"
"February 1972","4.75"
"March 1972","4.75"
"April 1972","4.75"
"May 1972","4.75"
"June 1972","4.75"
"July 1972","4.75"
"August 1972","4.75"
"September 1972","4.75"
"October 1972","4.75"
"November 1972","4.75"
"December 1972","4.75"
"January 1973","4.75"
"February 1973","4.75"
"March 1973","4.75"
"April 1973","5.25"
"May 1973","5.75"
"June 1973","6.25"
"July 1973","6.25"
"August 1973","6.75"
"September 1973","7.25"
"October 1973","7.25"
"November 1973","7.25"
"December 1973","7.25"
"January 1974","7.25"
"February 1974","7.25"
"March 1974","7.25"
"April 1974","8.25"
"May 1974","8.75"
"June 1974","8.75"
"July 1974","9.25"
"August 1974","9.25"
"September 1974","9.25"
"October 1974","9.25"
"November 1974","8.75"
"December 1974","8.75"
"January 1975","8.25"
"February 1975","8.25"
"March 1975","8.25"
"April 1975","8.25"
"May 1975","8.25"
"June 1975","8.25"
"July 1975","8.25"
"August 1975","8.25"
"September 1975","9.00"
"October 1975","9.00"
"November 1975","9.00"
"December 1975","9.00"
"January 1976","9.00"
"February 1976","9.00"
"March 1976","9.50"
"April 1976","9.50"
"May 1976","9.50"
"June 1976","9.50"
"July 1976","9.50"
"August 1976","9.50"
"September 1976","9.50"
"October 1976","9.50"
"November 1976","9.00"
"December 1976","8.50"
"January 1977","8.50"
"February 1977","8.00"
"March 1977","8.00"
"April 1977","8.00"
"May 1977","7.50"
"June 1977","7.50"
