rsi_14,stochrsi_14,macd_12_26,adx_14,williams_%R,cci,atr,utlimate_oscillator,roc
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,
,,,0.0,,,0.0,,0.12610340479193416
60.247567928932675,,,0.0,-11.827956989248287,,0.0018285714285714491,,0.691224816656831
67.9415249375586,,,0.0,-0.0,,0.001976530612244918,,0.9093971034018121
57.23526320631913,,,0.0,-28.925619834709394,,0.002085349854227412,,0.7249431003962036
61.01567587410947,,,0.0,-12.396694214874667,,0.0020792534360683113,,0.6051945868706476
62.95533940068153,,,0.0,-4.597701149424818,,0.002009306762063423,,0.5708529214237674
62.95533940068153,,,0.0,-5.263157894736381,,0.0018657848504874642,,0.6046355391333451
68.83990428197542,,,0.0,-0.0,158.75771604938026,0.0019896573611669346,,0.6280880998241405
74.91840243918031,,,0.0,-0.0,223.05697164833018,0.002211824692512161,,1.012891344383057
75.62134493043578,,,0.0,-0.0,200.3141534391524,0.0021038372144755726,,0.9869521579123479
67.99839204771234,,,0.0,-15.853658536585003,135.3189493433408,0.0021392774134415984,,0.9214273747696533
69.28100941049492,,,0.0,-9.756097560975906,132.2969059594584,0.0020579004553386193,,0.937552318767778
72.69841032084508,,,0.0,-0.0,151.0694237191809,0.0021180504228144412,,1.486146095717888
79.54365213532088,,0.00512306644159044,0.0,-0.0,206.44779650991092,0.002545332535470552,,1.8668899120971294
73.65125616408038,0.7358663599602137,0.005538360822876731,0.0,-10.762331838565729,149.2360662793173,0.0025349516400798113,,1.3351134846461963
63.883274435244715,0.2980049904134008,0.005433667123623698,33.68458198614996,-31.963470319635196,88.15813397750637,0.00268245509435982,,1.2469662733283047
71.56451580472145,0.6423257476820188,0.005983737107130516,34.22393761922178,-0.0,151.6142796188302,0.0031122797304769705,69.40130590420821,1.8046620436126526
71.00373783959269,0.5390800282054209,0.006322581258229931,34.65159612855721,-1.388888888888746,129.94199018295305,0.00291140260687147,74.52198531919602,1.6861435726210345
64.4747098698237,0.09159282763999566,0.006228825749738265,34.19041307619091,-19.024390243902545,89.1044642055127,0.002960588134952083,66.43796899501369,1.38564273789649
