date,fin_sentiment,gen_sentiment
1993-02-03,0.4311320553273527,0.913638012270127
1993-02-04,0.4311320553273527,0.913638012270127
1993-02-05,0.4311320553273527,0.913638012270127
1993-02-06,0.4311320553273527,0.913638012270127
1993-02-07,0.4311320553273527,0.913638012270127
1993-02-08,0.4311320553273527,0.913638012270127
1993-02-09,0.4311320553273527,0.913638012270127
1993-02-10,0.4311320553273527,0.913638012270127
1993-02-11,0.4311320553273527,0.913638012270127
1993-02-12,0.4311320553273527,0.913638012270127
1993-02-13,0.4311320553273527,0.913638012270127
1993-02-14,0.4311320553273527,0.913638012270127
1993-02-15,0.4311320553273527,0.913638012270127
1993-02-16,0.4311320553273527,0.913638012270127
1993-02-17,0.4311320553273527,0.913638012270127
1993-02-18,0.4311320553273527,0.913638012270127
1993-02-19,0.4311320553273527,0.913638012270127
1993-02-20,0.4311320553273527,0.913638012270127
1993-02-21,0.4311320553273527,0.913638012270127
1993-02-22,0.4311320553273527,0.913638012270127
1993-02-23,0.4311320553273527,0.913638012270127
1993-02-24,0.4311320553273527,0.913638012270127
1993-02-25,0.4311320553273527,0.913638012270127
1993-02-26,0.4311320553273527,0.913638012270127
1993-02-27,0.4311320553273527,0.913638012270127
1993-02-28,0.4311320553273527,0.913638012270127
1993-03-01,0.4311320553273527,0.913638012270127
1993-03-02,0.4311320553273527,0.913638012270127
1993-03-03,0.4311320553273527,0.913638012270127
1993-03-04,0.4311320553273527,0.913638012270127
1993-03-05,0.4311320553273527,0.913638012270127
1993-03-06,0.4311320553273527,0.913638012270127
1993-03-07,0.4311320553273527,0.913638012270127
1993-03-08,0.4311320553273527,0.913638012270127
1993-03-09,0.4311320553273527,0.913638012270127
1993-03-10,0.4311320553273527,0.913638012270127
1993-03-11,0.4311320553273527,0.913638012270127
1993-03-12,0.4311320553273527,0.913638012270127
1993-03-13,0.4311320553273527,0.913638012270127
1993-03-14,0.4311320553273527,0.913638012270127
1993-03-15,0.4311320553273527,0.913638012270127
1993-03-16,0.4311320553273527,0.913638012270127
1993-03-17,0.4311320553273527,0.913638012270127
1993-03-18,0.4311320553273527,0.913638012270127
1993-03-19,0.4311320553273527,0.913638012270127
1993-03-20,0.4311320553273527,0.913638012270127
1993-03-21,0.4311320553273527,0.913638012270127
1993-03-22,0.4311320553273527,0.913638012270127
1993-03-23,0.3264678447253472,0.7715853424723685
1993-03-24,0.3264678447253472,0.7715853424723685
1993-03-25,0.3264678447253472,0.7715853424723685
1993-03-26,0.3264678447253472,0.7715853424723685
1993-03-27,0.3264678447253472,0.7715853424723685
1993-03-28,0.3264678447253472,0.7715853424723685
1993-03-29,0.3264678447253472,0.7715853424723685
1993-03-30,0.3264678447253472,0.7715853424723685
1993-03-31,0.3264678447253472,0.7715853424723685
1993-04-01,0.3264678447253472,0.7715853424723685
1993-04-02,0.3264678447253472,0.7715853424723685
1993-04-03,0.3264678447253472,0.7715853424723685
1993-04-04,0.3264678447253472,0.7715853424723685
1993-04-05,0.3264678447253472,0.7715853424723685
1993-04-06,0.3264678447253472,0.7715853424723685
1993-04-07,0.3264678447253472,0.7715853424723685
1993-04-08,0.3264678447253472,0.7715853424723685
1993-04-09,0.3264678447253472,0.7715853424723685
1993-04-10,0.3264678447253472,0.7715853424723685
1993-04-11,0.3264678447253472,0.7715853424723685
1993-04-12,0.3264678447253472,0.7715853424723685
1993-04-13,0.3264678447253472,0.7715853424723685
1993-04-14,0.3264678447253472,0.7715853424723685
1993-04-15,0.3264678447253472,0.7715853424723685
1993-04-16,0.3264678447253472,0.7715853424723685
1993-04-17,0.3264678447253472,0.7715853424723685
1993-04-18,0.3264678447253472,0.7715853424723685
1993-04-19,0.3264678447253472,0.7715853424723685
1993-04-20,0.3264678447253472,0.7715853424723685
1993-04-21,0.3264678447253472,0.7715853424723685
1993-04-22,0.3264678447253472,0.7715853424723685
1993-04-23,0.3264678447253472,0.7715853424723685
1993-04-24,0.3264678447253472,0.7715853424723685
1993-04-25,0.3264678447253472,0.7715853424723685
1993-04-26,0.3264678447253472,0.7715853424723685
1993-04-27,0.3264678447253472,0.7715853424723685
1993-04-28,0.3264678447253472,0.7715853424723685
1993-04-29,0.3264678447253472,0.7715853424723685
1993-04-30,0.3264678447253472,0.7715853424723685
1993-05-01,0.3264678447253472,0.7715853424723685
1993-05-02,0.3264678447253472,0.7715853424723685
1993-05-03,0.3264678447253472,0.7715853424723685
1993-05-04,0.3264678447253472,0.7715853424723685
1993-05-05,0.3264678447253472,0.7715853424723685
1993-05-06,0.3264678447253472,0.7715853424723685
1993-05-07,0.3264678447253472,0.7715853424723685
1993-05-08,0.3264678447253472,0.7715853424723685
1993-05-09,0.3264678447253472,0.7715853424723685
1993-05-10,0.3264678447253472,0.7715853424723685
1993-05-11,0.3264678447253472,0.7715853424723685
1993-05-12,0.3264678447253472,0.7715853424723685
1993-05-13,0.3264678447253472,0.7715853424723685
1993-05-14,0.3264678447253472,0.7715853424723685
1993-05-15,0.3264678447253472,0.7715853424723685
1993-05-16,0.3264678447253472,0.7715853424723685
1993-05-17,0.3264678447253472,0.7715853424723685
1993-05-18,0.258085805782067,0.7870300360332011
1993-05-19,0.258085805782067,0.7870300360332011
1993-05-20,0.258085805782067,0.7870300360332011
1993-05-21,0.258085805782067,0.7870300360332011
1993-05-22,0.258085805782067,0.7870300360332011
1993-05-23,0.258085805782067,0.7870300360332011
1993-05-24,0.258085805782067,0.7870300360332011
1993-05-25,0.258085805782067,0.7870300360332011
1993-05-26,0.258085805782067,0.7870300360332011
